OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,HISTO_0,HISTO_1,HISTO_2,HISTO_3,Water_1,Water_2,Water_3,LC_2,LC_4,LC_5,LC_8,LC_9,LC_10,LC_11,LC_12,LC_13,LC_14,LC_16,LC_17,NDBI_mean,NDBI_median,NL_mean,NL_median,NDVI_mean,NDVI_median,Water_SUM,Seasonal_Ratio,Permanent_Ratio,LC_SUM,LC_2_ratio,LC_4_ratio,LC_5_ratio,LC_8_ratio,LC_9_ratio,LC_10_ratio,LC_11_ratio,LC_12_ratio,LC_13_ratio,LC_14_ratio,LC_16_ratio,LC_17_ratio,Year,NDBI_median_t_minus_1,NDBI_mean_t_minus_1,NL_mean_t_minus_1,NL_median_t_minus_1,NDVI_mean_t_minus_1,NDVI_median_t_minus_1,Water_SUM_t_minus_1,Water_SUM_t_minus_2
1,10,BIHAR,1,PASHCHIM CHAMPARAN,2,Ramnagar (SC),1,VALMIKI NAGAR,1001,,2.24111390328,0.1056097062,1442878,5126,6146,0,3896,1492,0,106,254,1447,79,293,38,0,2940,45,28,0,0,-0.091049328005576,-0.077325277030468,0.569615285331035,0.388998240232468,0.253195774682207,0.25132392346859,5388,0.2769116555308092,0.0,5230,0.0202676864244741,0.048565965583174,0.2766730401529637,0.0151051625239005,0.0560229445506692,0.007265774378585,0.0,0.5621414913957935,0.008604206500956,0.0053537284894837,0.0,0.0,2017,-0.077601820230484,-0.085699224568542,0.485619103918833,0.344229429960251,0.313066273805156,0.317760497331619,5379,5358
1,10,BIHAR,1,PASHCHIM CHAMPARAN,1,Valmiki Nagar,1,VALMIKI NAGAR,1001,,3.16673833067,0.12206658737,1258027,268824,142953,10913,296225,95510,14068,18,147,806,112,639,275,7,3820,2,76,84,65,-0.086397590286863,-0.07139603048563,0.531476753754897,0.405961543321609,0.239509644061685,0.245477229356766,405803,0.2353605074383383,0.0346670675179828,6051,0.0029747149231531,0.0242935052057511,0.1332011237811932,0.0185093372996199,0.1056023797719385,0.0454470335481738,0.0011568335812262,0.6313006114691786,0.0003305238803503,0.0125599074533135,0.0138820029747149,0.0107420261113865,2017,-0.072409115731716,-0.086460459118169,0.444191552898777,0.350726127624512,0.26413710798664,0.260659217834473,5379,5358
1,10,BIHAR,1,PASHCHIM CHAMPARAN,9,Sikta,1,VALMIKI NAGAR,1001,,1.6438567624,0.04398509075,596429,2789,6409,0,3240,5496,1,0,20,0,1,12,0,0,2114,0,36,0,0,-0.122912923943985,-0.122038826346397,0.858204761652646,0.727526724338531,0.291472398959441,0.288225114345551,8737,0.6290488726107359,0.0001144557628476,2183,0.0,0.0091617040769583,0.0,0.0004580852038479,0.0054970224461749,0.0,0.0,0.9683921209344938,0.0,0.0164910673385249,0.0,0.0,2017,-0.138776287436485,-0.135636295748569,0.700173788227836,0.596341371536255,0.372605593129545,0.37606081366539,5379,5358
1,10,BIHAR,1,PASHCHIM CHAMPARAN,4,Bagaha,1,VALMIKI NAGAR,1001,,1.2410549029,0.04398449091,561618,15347,25802,2838,22082,17266,2061,0,0,0,0,71,37,12,2049,7,0,4,2,-0.044098967070845,-0.029702657833695,0.889229873020346,0.747107207775116,0.211263121935461,0.206896930932999,41409,0.4169624960757323,0.0497717887415779,2182,0.0,0.0,0.0,0.0,0.032538955087076,0.0169569202566452,0.0054995417048579,0.9390467461044912,0.0032080659945004,0.0,0.0018331805682859,0.0009165902841429,2017,-0.030578479170799,-0.048664139047703,0.65207465425216,0.537994921207428,0.257499064144935,0.249865233898163,5379,5358
1,10,BIHAR,1,PASHCHIM CHAMPARAN,3,Narkatiaganj,1,VALMIKI NAGAR,1001,,1.44585213609,0.0339216314,463285,2618,1165,0,2415,1140,0,0,0,0,0,0,0,0,1645,37,1,0,0,-0.062487121166804,-0.05393691919744,1.092231068110551,0.914986103773117,0.232354870346966,0.227092102169991,3555,0.3206751054852321,0.0,1683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9774212715389186,0.0219845513963161,0.0005941770647653,0.0,0.0,2017,-0.057229001075029,-0.067329867522585,0.857686989248011,0.695685744285583,0.309137009376678,0.305169835686684,5379,5358
1,10,BIHAR,1,PASHCHIM CHAMPARAN,5,Lauriya,1,VALMIKI NAGAR,1001,,1.28649991613,0.03265617396,422900,17647,9057,31,17237,7269,120,0,0,0,0,16,5,0,1566,5,31,0,1,-0.124155181706042,-0.116296842694283,1.113846859334052,1.011982798576355,0.268541652241034,0.263146936893463,24626,0.29517583042313,0.0048728985624949,1624,0.0,0.0,0.0,0.0,0.0098522167487684,0.0030788177339901,0.0,0.9642857142857144,0.0030788177339901,0.0190886699507389,0.0,0.000615763546798,2017,-0.128284513950348,-0.139300279497462,0.865300942320892,0.793120145797729,0.347425613066727,0.344046890735626,5379,5358
2,10,BIHAR,2,PURBA CHAMPARAN,10,Raxaul,2,PASCHIM CHAMPARAN,1002,,1.30833172627,0.025599053,349982,984,1523,4,825,1323,0,0,0,0,0,6,0,0,1238,18,1,0,0,-0.170497875921495,-0.179244309663773,1.289896355433898,0.861185431480408,0.309875012232112,0.313067346811295,2148,0.6159217877094972,0.0,1263,0.0,0.0,0.0,0.0,0.004750593824228,0.0,0.0,0.9802058590657166,0.014251781472684,0.0007917656373713,0.0,0.0,2017,-0.223849236965179,-0.210082526703679,0.903794541071526,0.590421795845032,0.416209871738622,0.429791957139969,2099,2136
2,10,BIHAR,1,PASHCHIM CHAMPARAN,7,Chanpatia,2,PASCHIM CHAMPARAN,1002,,1.2942384841,0.03541506132,468022,5623,13960,2,5763,9651,2,0,0,0,0,39,0,0,1545,6,161,0,0,-0.14995915804922,-0.144548237323761,1.14502318815431,0.998712867498398,0.290480638744752,0.289099484682083,15416,0.6260378827192528,0.0001297353399065,1751,0.0,0.0,0.0,0.0,0.0222729868646487,0.0,0.0,0.8823529411764706,0.0034266133637921,0.0919474585950885,0.0,0.0,2017,-0.160639211535454,-0.167447099607173,0.837298689153685,0.745014190673828,0.370636174309624,0.369676619768143,2099,2136
2,10,BIHAR,2,PURBA CHAMPARAN,11,Sugauli,2,PASCHIM CHAMPARAN,1002,,1.09140266333,0.03084169076,374544,20181,29899,56,23491,25588,36,0,0,0,0,13,0,0,1470,22,30,0,0,-0.19381581394953,-0.204487450420856,1.033535676680023,0.881499946117401,0.320442351636376,0.328198567032814,49115,0.5209813702534867,0.0007329736333095,1535,0.0,0.0,0.0,0.0,0.0084690553745928,0.0,0.0,0.9576547231270358,0.0143322475570032,0.019543973941368,0.0,0.0,2017,-0.23981424421072,-0.226779689981861,0.726924222637579,0.604592204093933,0.414740457564515,0.427675381302834,2099,2136
2,10,BIHAR,2,PURBA CHAMPARAN,12,Narkatia,2,PASCHIM CHAMPARAN,1002,,1.93588626705,0.0326598806,369146,10831,69684,9,8620,71722,4,0,0,0,0,6,0,0,1595,17,3,0,0,-0.214284488220159,-0.232344210147858,0.827914489492958,0.65906822681427,0.342221534035003,0.34988896548748,80346,0.8926642272172852,4.978468125357827e-05,1621,0.0,0.0,0.0,0.0,0.0037014188772362,0.0,0.0,0.9839605181986428,0.0104873534855027,0.0018507094386181,0.0,0.0,2017,-0.23994966596365,-0.224393916882854,0.632708986434672,0.465238302946091,0.417488125353237,0.429171860218048,2099,2136
